geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
marapoama,SP,1,-21.256794218570786,-49.1302214871592
marialva,PR,1,-23.48392434035238,-51.79990910433005
marica,RJ,1,-22.919618105516072,-42.83978957558533
massaranduba,SC,1,-26.610216926670343,-49.002534048018276
mateus leme,MG,1,-19.99123842180006,-44.42872947177971
ipaussu,SP,1,-23.055151680595838,-49.62719098425694
louveira,SP,1,-23.08550507419915,-46.95954096067056
luiz alves,SC,1,-26.719065127148422,-48.99619111602232
luziania,GO,1,-16.262499271866016,-47.956459959807795
macatuba,SP,1,-22.514093447641567,-48.71694212220494
mairinque,SP,1,-23.53650295835299,-47.18889011605326
mamanguape,PB,1,-6.837168594957803,-35.12688719306731
manaus,AM,1,-3.1316720333175874,-60.019225134515096
mandaguacu,PR,1,-23.34495591219923,-52.09904825765634
ourinhos,SP,1,-22.98470598279763,-49.881834805384784
ouro fino,MG,1,-22.278485305030316,-46.37130155156736
ouro preto,MG,1,-20.391011466737957,-43.507047162023525
pacatuba,CE,1,-3.9538412260976616,-38.615167640864634
paicandu,PR,1,-23.45682094005969,-52.03990549710547
palotina,PR,1,-24.28579720485287,-53.837677556703355
para de minas,MG,1,-19.853541121211897,-44.60882226071132
paracambi,RJ,1,-22.61483382699214,-43.705683375748585
nova lima,MG,1,-19.98048628881467,-43.93981496058217
nova petrópolis,RS,1,-29.375117732594422,-51.10823005629176
nova trento,SC,1,-27.28299944363184,-48.93077294776362
novo horizonte,SP,1,-21.4696009553403,-49.222216847438304
olimpia,SP,1,-20.73752999199967,-48.9090364662508
oliveira,MG,1,-20.698563939792177,-44.82676038665832
orlandia,SP,1,-20.716823599737285,-47.87953500680893
orleans,SC,1,-28.357506793762706,-49.288673597165094
mucambo,CE,1,-3.905726996478778,-40.74612755881526
muqui,ES,1,-20.95206473566138,-41.342187048258076
muriae,MG,1,-21.136388018041888,-42.399282851834
neopolis,SE,1,-10.32593083501133,-36.57752881665699
nhandeara,SP,1,-20.693537430599775,-50.042499092685674
nilopolis,RJ,1,-22.805706631753832,-43.42307905240664
nilópolis,RJ,1,-22.816628254842055,-43.416324968037635
niterói,RJ,1,-22.9110328213164,-43.06742681237905
miguelopolis,SP,1,-20.182732189905014,-48.02780172057328
mineiros do tiete,SP,1,-22.41339600173933,-48.45129697299396
mirandopolis,SP,1,-21.132503677693613,-51.103186563082744
mococa,SP,1,-21.466660105003786,-47.00530729612842
mombuca,SP,1,-20.56936647541443,-46.02311914850127
monte alto,SP,1,-21.263459220114285,-48.495496727506335
monte siao,MG,1,-22.430217898121075,-46.57340512991158
monteiro lobato,SP,1,-22.95371488210672,-45.839550230520295
igrejinha,RS,1,-29.571977530057968,-50.79472976396335
ilheus,BA,1,-14.778697541236195,-39.05732606895031
ilicinea,MG,1,-20.940577532886604,-45.82723735222764
imbe,RS,1,-29.949823496703946,-50.11914007834461
imbituva,PR,1,-25.229677010502076,-50.603896895070974
imigrante,RS,1,-29.345230455593615,-51.76658692040368
paulo afonso,BA,1,-9.404467767344052,-38.222337498861826
pederneiras,SP,1,-22.348013116995098,-48.784495697020546
guarujá,SP,1,-23.983786906789252,-46.24074680750369
guiricema,MG,1,-21.00463525274551,-42.72034572426051
holambra,SP,1,-22.633046009436132,-47.05260391223774
horizontina,RS,1,-27.627277989445282,-54.31036031755507
hortolandia,SP,1,-22.889982360458344,-47.19898012005198
hortolândia,SP,1,-22.892791605649712,-47.17384949978643
ibia,MG,1,-19.515039180739823,-46.56160823512746
ibirité,MG,1,-20.013645630860008,-44.07010945653083
guaira,PR,1,-24.08674452889675,-54.25118501409774
guaira,SP,1,-20.3249901235719,-48.320131288780836
guanambi,BA,1,-14.223207197286886,-42.78339770003472
guanhaes,MG,1,-18.775765183946625,-42.93166199720478
guara,SP,1,-20.43217689916522,-47.82416381617847
guarapuava,PR,1,-25.382309816870258,-51.45456651508261
guaratingueta,SP,1,-22.778161755463493,-45.20773514694765
guariba,SP,1,-21.36350170979939,-48.22960077888057
parai,RS,1,-28.596703774432147,-51.786946085315805
paraiba do sul,RJ,1,-22.16428987434635,-43.29222008230457
paraiso do sul,RS,1,-29.723802873745612,-53.17918716660632
paranavai,PR,1,-23.078837903414584,-52.4647318679761
parnamirim,RN,1,-5.886563452788081,-35.208241315938245
passos,MG,1,-20.719638211559776,-46.604848528571765
pato bragado,PR,1,-24.625809140863744,-54.22673085775215
guaimbe,SP,1,-21.90997953797039,-49.89617225055718
governador valadares,MG,1,-18.88547551320914,-41.94732216443707
porto firme,MG,1,-20.699028840686484,-42.99946861920252
porto seguro,BA,1,-16.432027097855745,-39.07562867228171
porto velho,RO,1,-8.766194545807497,-63.89356545864417
pouso alegre,MG,1,-22.235082800726914,-45.93392182723873
poá,SP,1,-23.52194421054593,-46.34087492614052
prados,MG,1,-21.059067150905058,-44.083411637917365
presidente bernardes,SP,1,-22.00850814387055,-51.55634360153442
feira de santana,BA,1,-12.253205687347366,-38.967643931088915
fernando prestes,SP,1,-21.267134804144064,-48.686678524301236
floresta,PR,1,-23.614374068425708,-52.082794433928086
formosa do oeste,PR,1,-24.296024477069246,-53.3145970174448
francisco morato,SP,1,-23.282843367454195,-46.74615014505265
fronteira,MG,1,-20.279454990887864,-49.2025514813791
garuva,SC,1,-26.034602380283914,-48.85354111529444
goioere,PR,1,-24.185936255296784,-53.02562860417749
piracanjuba,GO,1,-17.30349906583519,-49.02636879088997
pirassununga,SP,1,-22.01327199468417,-47.41515436456504
pitangueiras,SP,1,-21.00987455542997,-48.219255640094126
ponte nova,MG,1,-20.410060488150783,-42.89881690745697
portao,RS,1,-29.694204375791138,-51.23318877432421
eunapolis,BA,1,-16.37521603869197,-39.58755141159429
eusebio,CE,1,-3.8780846128375694,-38.4586571230597
extrema,MG,1,-22.855478223289115,-46.31950127100401
pedregulho,SP,1,-20.248446312480418,-47.476741704155444
pedrinhas paulista,SP,1,-22.815272553334733,-50.79127156718951
pedro leopoldo,MG,1,-19.613117562252093,-44.03989226354459
pilar do sul,SP,1,-23.81197455444591,-47.72290759681854
pindamonhangaba,SP,1,-22.920186332834536,-45.46440222679634
pinhalao,PR,1,-23.78967571984096,-50.058695203268186
pinhalzinho,SC,1,-26.847939738284047,-52.98723222324769
pinhalzinho,SP,1,-22.780736129682907,-46.588867109618306
engenheiro coelho,SP,1,-22.487817723352375,-47.20455471253452
entre rios do oeste,PR,1,-24.702966464945906,-54.23744799743772
erechim,RS,1,-27.63604581650499,-52.2730491223361
rio verde,GO,1,-17.804500726925003,-50.916494660436
rolante,RS,1,-29.64963363646582,-50.572926219838166
ronda alta,RS,1,-27.78222223380718,-52.806500480230916
sabara,MG,1,-19.880489318726323,-43.90337735934442
santa cecília,SC,1,-26.960282815228826,-50.41834564086907
cruzeiro,SP,1,-22.578126240918923,-44.96154905740904
